OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County,State,PUIsTotal*,PUIAge_0_4*,PUIAge_5_14*,PUIAge_15_24*,PUIAge_25_34*,PUIAge_35_44*,PUIAge_45_54*,PUIAge_55_64*,PUIAge_65_74*,PUIAge_75_84*,PUIAge_85plus*,PUIAge_Unkn*,PUIAgeRange*,PUIAgeMedian*,PUIFemale*,PUIMale*,PUISexUnkn*,PUIFLRes*,PUINotFLRes*,PUIFLResOut*,PUIContNo*,PUIContUnkn*,PUIAgeAvrg*,PUITravelNo*,PUITravelYes*,PUI_TPositive*,PUI_TNegative*,PUI_TInconc*,PUI_TPending*,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,PUI_EverMon*,PUI_MonNow*,Shape__Area,Shape__Length,GlobalID,New Cases,New Negative cases,New Total Tested Today,New Percent Positivity,Median Age
1,1,21,041,GILCHRIST,Gilchrist,FL,1240,33,61,153,169,160,174,170,135,106,79,0,0 to 118,48,711,523,6,1240,0,0,79,763,2,530,17,464,775,0,1,1239,426,38,0,0,248,215,1,464,10,25,68,78,55,61,57,33,35,42,0,0 to 106,43,385,30,21,28,71,361,32,66,0,32,0,0,10,464,215,248,464,0,0,3704,0,4176,3704,464,10,613,596,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,4,19,23,0.173913043478261,43
2,2,54,107,PUTNAM,Putnam,FL,4928,116,282,584,719,661,721,774,524,345,181,21,0 to 118,46,2920,1965,43,4918,10,0,725,3377,133,1662,29,1780,3144,0,4,4914,1080,698,1,1,931,836,11,1778,43,173,303,266,279,234,221,131,80,40,10,0 to 100,38,953,508,218,99,377,1257,144,333,1,196,0,0,37,1780,837,932,1778,2,0,13032,8,14833,13040,1780,37,407,339,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,5,88,93,0.0537634408602151,38
3,3,62,123,TAYLOR,Taylor,FL,2275,47,73,235,457,439,354,310,220,98,38,4,0 to 118,42,895,1358,22,2266,9,0,64,1514,3,955,29,1200,1069,0,6,2260,1140,57,3,0,291,906,0,1197,4,20,122,305,293,214,131,72,27,12,0,1 to 92,39,597,510,71,19,124,1015,58,89,0,36,0,0,5,1200,906,294,1197,3,0,4591,6,5826,4597,1200,5,992,894,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,1,19,20,0.05,39
4,4,46,091,OKALOOSA,Okaloosa,FL,11107,250,356,1259,1802,1627,1504,1547,1150,884,682,46,0 to 119,46,6458,4548,101,10946,160,1,610,7309,137,2019,149,4154,6905,1,47,10899,3917,209,23,5,2243,1840,43,4126,48,147,687,810,643,573,514,346,215,165,6,0 to 103,40,2293,393,746,694,559,2715,852,405,4,242,2,0,77,4154,1851,2260,4125,28,1,28226,132,32559,28358,4154,77,3543,3117,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,17,92,109,0.155963302752294,40
5,5,7,013,CALHOUN,Calhoun,FL,1189,17,59,118,175,194,168,173,138,98,49,0,0 to 99,46,601,573,15,1188,1,0,39,549,4,506,13,570,618,0,1,1187,553,16,1,0,242,326,1,569,4,18,60,108,101,81,73,56,41,28,0,1 to 99,44,371,89,39,70,24,462,83,58,1,32,1,0,8,570,327,242,569,1,0,3989,0,4569,3989,570,8,766,705,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,2,7,9,0.222222222222222,44
6,6,50,099,PALM BEACH,Palm Beach,FL,104235,1734,3083,10265,14665,13911,15196,16419,13246,8975,5000,1741,0 to 119,50,56372,47461,402,103231,1002,2,8853,79940,465,29087,807,41965,61825,161,284,102791,40959,642,357,7,21476,19943,182,41601,692,1627,6154,7779,6828,6498,5437,3100,2063,1643,144,0 to 106,41,15520,6729,7586,11766,11382,16653,13566,4584,54,3303,36,17,1119,41965,20138,21635,41599,364,2,280080,644,323337,280724,41965,1119,10852,10587,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,106,2932,3038,0.0348913759052008,41
7,7,56,111,ST. LUCIE,St. Lucie,FL,17502,333,570,1640,2399,2412,2712,2784,2278,1436,840,98,0 to 119,49,10063,7190,249,17346,156,0,1556,11815,188,5063,190,6992,10234,5,271,17070,6823,143,25,1,3814,3086,66,6966,128,297,912,1168,1130,1104,933,621,375,261,63,0 to 104,43,2475,1594,1058,1839,1560,3064,2342,652,2,462,2,1,235,6992,3101,3825,6966,26,0,44180,131,51363,44311,6992,235,4781,4766,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,31,942,973,0.0318602261048304,43
8,8,51,101,PASCO,Pasco,FL,22038,434,673,2293,3025,3155,3523,3523,2878,1719,766,49,0 to 119,49,12421,9541,76,21922,116,0,1902,14869,223,7492,330,8048,13845,3,142,21777,7847,150,49,2,4172,3813,12,7997,122,271,1213,1388,1281,1287,1063,737,431,233,22,0 to 105,42,5679,605,1277,436,1980,5453,564,1054,10,733,4,1,180,8048,3837,4199,7997,51,0,70068,70,78243,70138,8048,180,5482,4931,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,19,619,638,0.0297805642633229,42
9,9,20,039,GADSDEN,Gadsden,FL,4976,112,254,532,824,870,843,714,510,195,103,19,0 to 119,43,2969,1982,25,4954,21,1,419,3211,46,1540,31,2324,2646,1,5,4949,2265,51,8,0,1141,1157,18,2316,52,144,326,394,441,400,291,158,69,32,17,0 to 105,39,684,904,392,336,438,1380,498,332,0,175,0,0,31,2324,1158,1148,2315,8,1,12514,16,14895,12530,2324,31,997,803,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,7,59,66,0.106060606060606,39
10,10,37,073,LEON,Leon,FL,19002,345,619,3514,3214,2693,2640,2716,2001,790,420,50,0 to 119,41,9960,8921,121,18650,351,1,1498,14642,201,4167,187,6321,12655,4,22,18626,6112,60,145,4,3289,2863,20,6172,114,268,2063,1187,806,693,628,311,136,97,18,0 to 105,29,1895,2015,777,1485,441,3375,2356,475,16,181,10,7,33,6321,2937,3364,6171,149,1,66193,209,72850,66402,6321,33,2663,2249,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,30,339,369,0.0813008130081301,29
11,11,33,065,JEFFERSON,Jefferson,FL,1109,24,32,88,143,163,172,215,169,81,21,1,0 to 101,51,489,618,2,1099,10,0,28,801,41,420,19,500,607,1,1,1097,440,52,8,0,134,358,0,492,6,11,48,91,80,92,96,51,17,8,0,0 to 95,46,191,265,27,9,24,433,35,46,2,29,0,0,6,500,364,136,492,8,0,2893,2,3410,2895,500,6,312,274,1581350101.5302,228391.565390175,862c7bab-c64b-458c-a6fa-56543968d206,3,50,53,0.0566037735849057,46
12,12,40,079,MADISON,Madison,FL,1971,97,130,229,253,272,298,265,237,123,61,6,0 to 99,45,1181,785,5,1939,32,0,100,1088,53,999,65,868,1101,1,1,1937,586,268,13,1,483,370,1,854,36,69,114,123,137,147,115,75,25,27,0,0 to 98,41,253,537,39,25,51,729,74,140,1,39,1,1,14,868,374,493,854,14,0,4619,18,5516,4637,868,14,952,853,1853116752.08771,219176.19751538,89851e42-542b-499a-ac7e-d8f5369f3d0b,1,18,19,0.0526315789473684,41
13,13,39,077,LIBERTY,Liberty,FL,2430,11,22,228,695,576,430,302,111,38,9,8,0 to 105,39,325,2099,6,2430,0,0,15,1936,1,268,9,433,1997,0,0,2430,429,4,0,0,102,331,0,433,4,8,68,88,80,87,68,19,9,2,0,0 to 86,40,282,117,19,15,21,310,102,25,0,9,0,0,7,433,331,102,433,0,0,2849,0,3282,2849,433,7,384,359,2183538740.41838,308797.501184753,59b90335-ef4e-4e77-88c2-fc6bcc9d4032,0,3,3,0,40
14,14,24,047,HAMILTON,Hamilton,FL,2365,37,66,226,596,463,371,279,194,81,49,3,0 to 118,40,644,1704,17,2357,8,0,72,1915,9,683,14,699,1665,0,1,2356,578,116,4,1,259,435,0,694,26,49,100,148,116,108,87,41,16,8,0,0 to 90,37,310,324,51,9,101,435,158,85,1,27,0,0,6,699,438,261,694,5,0,4553,3,5257,4556,699,6,52,50,1344926537.82205,232510.619937192,d384b6bb-17b0-4808-9d73-78cb54c43aab,2,15,17,0.117647058823529,37
15,15,3,005,BAY,Bay,FL,8425,100,141,1007,1380,1297,1431,1360,894,495,249,71,0 to 119,46,4360,3980,85,8322,103,0,1221,4681,28,4720,185,5363,3045,1,16,8305,5140,140,81,2,2591,2644,45,5280,63,107,809,1021,902,909,757,461,236,79,19,0 to 99,42,2987,542,674,1077,393,3448,1439,648,16,296,6,5,78,5363,2693,2625,5280,83,0,25308,30,30763,25338,5363,78,578,571,1930770661.49939,558412.990825665,a66f3b06-8ee0-4dec-843e-f41d712aad2f,7,167,174,0.0402298850574713,42
16,16,12,023,COLUMBIA,Columbia,FL,6399,137,208,521,951,1017,973,1121,818,405,238,10,0 to 119,48,2810,3529,60,6373,26,0,824,2968,63,3368,28,3340,3055,0,4,6369,3028,299,10,3,1033,2292,2,3327,59,117,316,609,639,574,507,314,146,58,1,0 to 102,43,1920,977,136,294,206,2771,350,88,1,188,2,0,33,3340,2300,1038,3327,13,0,11949,13,15357,11962,3340,33,77,76,2068684690.43686,276060.430857214,6958d394-62b5-4f73-a62a-0fa2389d4fb3,5,103,108,0.0462962962962963,43
17,17,2,003,BAKER,Baker,FL,2151,46,57,242,412,410,356,317,173,98,38,2,0 to 99,42,881,1239,31,2093,58,0,181,1494,16,640,20,1153,960,0,38,2055,1026,127,0,0,310,843,0,1153,5,19,124,265,268,199,162,68,33,10,0,1 to 97,40,511,148,45,449,15,610,528,74,0,46,0,0,5,1153,843,310,1153,0,0,5578,57,6814,5635,1153,5,817,816,1520245937.66486,183737.354704368,393e3bc9-079e-4ad6-9162-d77ee72feb59,2,25,27,0.0740740740740741,40
18,18,30,059,HOLMES,Holmes,FL,1478,28,55,154,216,224,254,218,204,93,31,1,0 to 119,47,751,712,15,1458,20,0,49,836,5,539,73,622,853,0,3,1455,523,88,8,3,253,354,4,611,13,23,85,119,115,109,69,56,25,8,0,0 to 96,40,448,82,42,39,29,496,86,44,0,23,0,0,5,622,358,260,611,11,0,4044,9,4683,4053,622,5,680,674,1251550190.83949,175658.620344926,bd5e2bc2-c55e-45e6-8687-0c7528780cd1,0,8,8,0,40
19,19,43,085,MARTIN,Martin,FL,10898,210,383,1059,1237,1331,1423,1727,1599,1159,520,250,0 to 100,52,5491,5021,386,10788,110,0,933,7379,82,3627,120,4497,6349,1,51,10737,4445,22,30,0,2180,2263,24,4467,106,240,682,697,678,651,488,298,254,173,230,0 to 100,40,1943,246,1105,1173,1834,1624,1009,641,4,375,3,1,118,4497,2279,2194,4467,30,0,26353,77,30988,26430,4497,118,2432,2421,1686613017.08661,308980.48751506,14dc1d1d-ce53-4995-9cf2-039fe1559f59,48,475,523,0.0917782026768642,40
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,87177,2053,3207,10170,14899,13240,13465,12930,9274,4965,2361,613,0 to 119,44,48425,38140,612,86674,503,0,4680,71982,458,12795,547,37136,49780,22,239,86413,36359,614,158,5,19588,17066,319,36973,812,1721,6114,7690,5998,5658,4250,2334,1320,739,500,0 to 104,37,12722,4843,5264,14144,9409,11139,16425,3069,22,1675,15,5,551,37136,17139,19674,36973,163,0,239876,350,277894,240226,37136,551,6945,6598,2746844886.16013,358788.307034344,12be5e4e-9d96-4b8e-8617-77c84f3bc487,119,2020,2139,0.0556334735857877,37
21,21,41,081,MANATEE,Manatee,FL,24666,490,979,2422,3034,3056,3341,4035,3917,2371,907,114,0 to 119,52,13624,10660,382,24322,344,0,2844,18700,177,6721,105,10426,14222,3,15,24304,10233,84,109,0,5373,4780,164,10317,247,680,1660,1804,1669,1516,1287,807,489,256,11,0 to 101,39,4913,1019,1631,2754,2863,3991,3463,663,8,738,7,2,258,10426,4833,5425,10317,109,0,85080,266,95848,85346,10426,258,831,731,1945653927.12581,371198.171414394,0ad77407-ceaa-4c6b-9e84-485e7d0fa9cc,7,670,677,0.0103397341211226,39
22,22,10,019,CLAY,Clay,FL,12430,188,428,1308,1513,1797,2059,1978,1615,931,383,230,0 to 101,49,6974,5262,194,12398,32,0,1127,8649,130,2663,157,4092,8316,1,21,12376,3945,133,14,0,2209,1840,29,4078,40,142,610,553,621,692,528,354,228,118,206,0 to 100,44,2110,644,355,969,387,2626,1065,637,2,297,3,0,76,4092,1848,2215,4078,14,0,37122,18,41277,37140,4092,76,2786,2752,1667659896.51059,183856.484298748,d8b9952e-371d-460f-96ae-4666bdb4ad84,133,973,1106,0.120253164556962,44
23,23,25,049,HARDEE,Hardee,FL,2229,75,211,360,403,301,322,258,181,86,32,0,0 to 95,37,1128,1074,27,2220,9,0,88,819,2,1416,25,1097,1127,1,4,2215,791,299,6,1,510,575,5,1090,26,99,190,215,166,176,115,71,31,8,0,0 to 93,35,784,96,142,68,673,341,76,146,3,112,4,1,9,1097,580,512,1090,7,0,5894,2,7002,5896,1097,9,1818,1717,1653184151.65315,165534.73009074,30dcfc30-6a6d-4712-9819-f2940d3f56ed,5,10,15,0.333333333333333,35
24,24,42,083,MARION,Marion,FL,26743,364,776,2392,3655,3672,3906,4231,4051,2594,1041,61,0 to 168,51,16161,10490,92,26708,35,0,5902,12689,177,10460,275,8496,18226,1,20,26687,8240,243,12,1,5039,3389,55,8483,111,303,1039,1573,1583,1370,1115,710,432,221,39,0 to 106,42,5150,1728,748,857,1176,5919,1388,1229,5,751,0,0,180,8496,3392,5049,8483,13,0,53849,23,62483,53872,8496,180,2537,2373,4305055841.62241,350920.190673371,76cc1b01-df08-469d-a322-71f8d05597d9,28,274,302,0.0927152317880795,42
25,25,64,127,VOLUSIA,Volusia,FL,29333,349,669,2458,3621,3471,4242,5538,4802,2622,1255,306,0 to 119,54,16276,12505,552,29187,146,0,2046,23033,230,7420,369,9283,19967,0,83,29104,8307,911,59,6,4849,4327,42,9218,128,325,1414,1658,1325,1355,1321,902,517,302,36,0 to 103,43,4286,1251,1953,1728,1648,5323,2247,1248,16,704,8,0,189,9283,4360,4881,9218,65,0,75148,82,84626,75230,9283,189,3524,2902,3125661534.15881,560414.737839251,3b926974-437e-4986-9bff-d87d276166f4,39,853,892,0.0437219730941704,43
26,26,15,029,DIXIE,Dixie,FL,1561,31,71,146,208,303,221,240,196,99,45,1,0 to 118,46,743,811,7,1560,1,0,76,735,6,792,9,719,841,0,1,1559,679,39,1,0,246,472,0,718,5,28,67,120,159,118,104,75,35,8,0,0 to 91,43,496,165,21,36,44,621,53,61,0,42,0,0,4,719,472,247,718,1,0,4023,0,4754,4023,719,4,662,607,1823798262.39212,235232.973119088,2691daeb-cc0b-4abc-a209-fe46ce33086c,7,17,24,0.291666666666667,43
27,27,35,069,LAKE,Lake,FL,21817,374,561,1785,2487,2491,2922,3349,3441,2355,834,1218,0 to 104,54,11577,9346,894,21658,159,0,971,18429,222,2496,145,6396,15241,3,177,21480,6284,74,38,0,3279,2960,119,6358,120,252,942,1107,988,992,842,585,366,170,32,0 to 103,42,2209,822,1300,2027,1035,2854,2469,663,13,404,5,1,117,6396,2982,3292,6358,38,0,68852,124,75466,68976,6396,117,2320,2029,2995995460.71371,331014.242454318,9712f6a1-e709-4877-97e2-3fe2eada2b79,11,564,575,0.0191304347826087,42
28,28,38,075,LEVY,Levy,FL,2710,62,111,328,346,306,394,466,360,242,91,4,0 to 118,50,1534,1162,14,2705,5,0,223,1571,16,1168,29,911,1798,0,1,2704,856,51,1,3,459,447,1,907,19,54,160,135,119,144,120,91,52,14,3,0 to 99,42,486,144,173,104,205,562,140,92,0,66,0,0,6,911,450,460,907,4,0,6470,1,7391,6471,911,6,1145,1095,2900663690.96646,339394.964008615,e8b9fc01-e14c-4049-babc-f4aa93256ea0,4,48,52,0.0769230769230769,42
29,29,60,119,SUMTER,Sumter,FL,5647,40,104,232,351,393,520,754,1797,1159,193,104,0 to 119,67,2868,2632,147,5566,81,0,362,4056,164,1614,142,1852,3769,0,26,5540,1676,167,8,1,885,945,13,1843,8,59,135,172,226,260,246,404,255,68,19,1 to 99,57,984,343,94,422,91,1213,539,349,2,212,0,0,50,1852,948,891,1843,9,0,18735,72,20677,18807,1852,50,966,954,1502516062.89801,229328.389599522,a985ccbc-ba3e-4854-acdf-8e9cd885e5aa,4,77,81,0.0493827160493827,57
30,30,59,117,SEMINOLE,Seminole,FL,24556,394,712,2793,3589,3429,3769,3726,3014,1487,809,834,0 to 119,47,13724,10646,186,24489,67,0,1434,19477,246,3825,183,8029,16459,1,67,24424,7923,72,34,0,4267,3671,57,7995,140,283,1518,1590,1200,1183,901,569,330,312,3,0 to 108,38,4546,1003,1225,1221,1701,3989,2305,865,5,574,1,0,172,8029,3685,4285,7995,34,0,67841,34,75970,67875,8029,172,3901,3659,893350621.597626,158549.770327082,5a9b725e-b5bc-4433-a9c5-f30390148c62,21,599,620,0.0338709677419355,38
31,31,48,095,ORANGE,Orange,FL,95982,1743,2599,10922,16705,15222,14967,13775,9212,4446,1791,4600,0 to 120,43,51481,43678,823,94607,1374,1,4750,84116,585,12247,563,35902,59686,3,391,94215,35327,160,410,5,17946,17037,504,35487,595,1126,6467,8389,6380,5368,3907,1999,1073,489,109,0 to 106,36,8679,4938,6470,15400,7122,8907,19458,2115,54,1106,42,6,377,35902,17251,18138,35486,415,1,272713,981,309894,273694,35902,377,4517,4289,2601855780.29929,275135.911496092,e33d02e5-646c-40c2-b9d7-442237fbb181,143,2410,2553,0.0560125342734038,36
32,32,9,017,CITRUS,Citrus,FL,6583,73,205,571,696,659,861,1179,1231,819,272,17,0 to 222,57,3700,2727,156,6568,15,0,438,4081,119,2042,51,2095,4424,1,63,6505,1261,827,4,3,1119,963,6,2088,18,75,277,254,237,323,383,263,178,79,8,0 to 100,50,1666,117,151,154,111,1752,225,189,0,210,1,0,57,2095,968,1121,2088,7,0,19896,7,22008,19903,2095,57,2671,2222,1565249379.23035,242867.273750112,3c97198a-a027-4923-a8f8-ce1fafd29127,13,273,286,0.0454545454545455,50
33,33,27,053,HERNANDO,Hernando,FL,6719,112,163,660,891,831,973,1109,860,631,434,55,0 to 106,52,3984,2724,11,6688,31,0,651,4275,66,2896,63,2615,4099,0,5,6683,2223,375,15,2,1449,1149,0,2598,30,81,329,383,348,395,368,277,202,151,51,0 to 101,48,1935,263,352,48,467,2069,62,474,2,339,2,1,83,2615,1154,1460,2598,17,0,20509,14,23160,20523,2615,83,2906,2855,1259956856.20596,200494.167365377,6eb18eb2-9734-45d8-9ba1-42eee8f524af,16,233,249,0.0642570281124498,48
